Name,Eligibility,Eligible,Links_online_application,Contacts_offline_applications,Special_Categories,Scholarship_Fellowship,Level,State,Application_Period
Monthly Stipend to all Scheduled Caste Students (Class 1 to 8) Haryana,The scholarship is open for students of Classes 1 to 8.,Primary Junior,,Apply offline through your respective head of the institution.,SC,Scholarship,State,Haryana,Between March and April
Haryana State Meritorious Incentive Scheme,The students acquiring the first second and third position in the annual university examination can apply for this scholarship.They must be pursuing an undergraduate or postgraduate degree course in Arts Commerce Science or Education stream at a recognised Government college.The scholarship is not open to students who are studying at non-government colleges or pursuing studies through correspondence.,UG PG,https://highereduhry.ac.in/,,SC General,Scholarship,State,Haryana,Between January and February
Merit-cum-Means Minority Scholarship Scheme Haryana,The students belonging to the minority (Muslims Sikhs Christians Jains Parsis and Buddhists) community can apply for this scholarship.They must be pursuing a professional/ technical course from a recognised institution/university.The annual income of the family should be less than INR 250000.,Others,https://highereduhry.ac.in/,,Minority (Muslims Sikhs Christians Jains Parsis and Buddhists),Scholarship,State,Haryana,Between January and February
Consolidated Stipend Scheme for SC Students Haryana,The students pursuing an undergraduate or postgraduate degree course from a government-recognised college/university in Haryana can apply.They must have at least 60% attendance in the class.,UG PG,https://highereduhry.ac.in/,,SC,Scholarship,State,Haryana,Between January and February
Haryana State Merit Scholarship,The students who have passed Class 10+2 and are pursuing undergraduate or postgraduate courses can apply for this scholarship.They must be studying in government/ non-government colleges on the basis of merit.They must have competed in the examination conducted by Punjab or Kurukshetra University or any other examining body.,UG PG,,Apply offline through your respective head of the institution.,Open for all,Scholarship,State,Haryana,Between January and February
Dr. Ambedkar Sanshodhit Medhavi Chhattar Sansodhit Yojna,The scholarship is open to students studying in Class 10+1 to the postgraduate level.The annual income of the family should be less than INR 400000.,10+2/Intermediate UG PG,https://haryanascbc.gov.in/welfare-schemes,,SC BC,Scholarship,State,Haryana,Between January and February
Annusuchit Jati Chhattra Ucch Shiksha Protsahan Yojna,The girl students who have passed Class 10+2 are eligible for this scholarship.They must be pursuing a diploma graduation or postgraduation-level degree in Commerce Science or other professional streams.The annual income of the family should be between INR 100000 and INR 240000 from all sources.,UG PG,,Apply offline by collecting the form from TWO/DWO and submit the completed application to the concerned Head of the Institution.,SC,Scholarship,State,Haryana,Between January and February
Promotion of Science Education (POSE) Scholarship Scheme,The students applying for a 3-year BSc/4-year BS or integrated MSc/MS program in natural and basic sciences can apply for this scholarship provided they have passed Class 10 and 10+2 board examination from a school in Haryana with minimum 85% marks (for Haryana Board School) and 90% marks (for other boards such as CBSE/ICSE) in Class 10+2.The students applying for a 2-year MSc program in natural and basic science can also apply provided they have passed Classes 10 10+2 and BSc/BA from a school/university/college in Haryana with minimum 75% marks in BSc/BA degree.,UG PG,https://saralharyana.gov.in/,,Open for all,Scholarship,State,Haryana,Between August and September
Post Matric Scholarship for SC/ST/OBC Haryana,The students studying in 10+1 to PhD level can apply for this scholarship.The annual income of the family should be less than INR 100000 (for OBC/EBC students).The annual income of the family should be less than INR 200000 (for DNT students).The annual income of the family should be less than INR 250000 (for SC/ST students).,10+2/Intermediate UG PG Ph.D/Doctorate,,Apply online through the official website of the Welfare of Scheduled Caste & Backward Classes Department,ST SC OBC EBC DNT,Scholarship,State,Haryana,Between November and January
Dr. Ambedkar Medhavi Chattervriti Yojana for SC Students,The student should be amongst the top 1250 meritorious students declared in the result of Matric examination conducted by the HP Board of School Education.,10+2/Intermediate,https://haryanascbc.gov.in/dr-ambedkar-medhavi-chhattar-sansodhit-yojna-0,,SC,Scholarship,State,Himachal Pradesh,Between September and December
Dr. Ambedkar Medhavi Chattervriti Yojana for OBC Students,The student should be amongst the top 1000 meritorious students declared in the result of Matric examination conducted by the HP Board of School Education.,10+2/Intermediate,https://haryanascbc.gov.in/dr-ambedkar-medhavi-chhattar-sansodhit-yojna-0,,OBC,Scholarship,State,Himachal Pradesh,Between September and December
Swami Vivekanand Utkrisht Yojana,The student should be amongst the top 2000 meritorious students declared in the result of Matric examination conducted by the HP Board of School Education.,10+2/Intermediate,https://scholarshiparena.in/swami-vivekanand-utkrisht-chatravriti-yojana/,,General,Scholarship,State,Himachal Pradesh,Between September and December
Thakur Sen Negi Utkrisht Chattervriti Yojana,The student should be either amongst top 100 girls or top 100 boys belonging to the Tribal Community of HP declared in the result of Matric examination conducted by the HP Board of School Education.,10+2/Intermediate Others,https://scholarships.gov.in/,,Tribal Community of Himachal Pradesh,Scholarship,State,Himachal Pradesh,Between September and December
Kalpana Chawala Chattervriti Yojana,The scholarship is open for girl students.The applicant should be amongst the top 2000 students of 10+2 in the merit list supplied by the HP Board of School Education.,10+2/Intermediate,https://scholarships.gov.in/,,Women,Scholarship,State,Himachal Pradesh,Between September and December
Mukhiya Mantri Protsahan Yojana (One-time Incentive),The student should be selected and must have taken admission for a degree course in any of the colleges mentioned below:Indian Institute of Technology (IITs)All India Institute of Medical Sciences (AIIMSs)Indian School of Mines (ISM)- Dhanbad at JharkhandIndian Institute of Science (IISc) at BangalorePG Diploma course in any Indian Institute of Management (IIMs).,Engineering Mediacl UG,https://scholarships.gov.in/,,Open for all,Scholarship,State,Himachal Pradesh,Between September and December
Maharshi Balmiki Chattervriti Yojana,The scholarship is open for girls.The student should belong to a Balmiki family engaged in an unclean occupation studying in matric to college level,10/High_School,https://pmmodiyojana.in/maharishi-balmiki-chatravriti-yojana/,,Women,Scholarship,State,Himachal Pradesh,Between September and December
IRDP Scholarship Scheme,The applicant should be a student studying between 9th standard to University level.The student should belong to an IRDP family.,Junior 10/High_School 10+2/Intermediate UG PG,https://hpepass.cgg.gov.in/NewHomePage.do?actionParameter=stateSchemes,,Open for all,Scholarship,State,Himachal Pradesh,Between September and December
Sainik School Sujanpur Tihara Scholarship,The applicant should be a student of Sainik School Sujanpur TiharaThe applicant should be a student from class 6 to 10+2,Junior 10/High_School 10+2/Intermediate,https://www.sainikschoolsujanpurtira.org/,,Open for all,Scholarship,State,Himachal Pradesh,Between July to September
Rashtriya Indian Military College Scholarship (Only for RIMC Dehradun),The applicant should be a student of Rashtriya Indian Military College Dehradun.The applicant should be a student studying from 8 to 12 standard.,Junior 10/High_School 10+2/Intermediate,https://rimc.gov.in/Scholarship.aspx,,Open for all,Scholarship,State,Himachal Pradesh,Between July to September
NDA Scholarship Scheme (Only for NDA Khadakwasla),The applicant should be a cadet of Himachal Pradesh receiving training at the National Defence Academy (NDA) Khadakwasla Pune,Others,https://nda.nic.in/,,Open for all,Scholarship,State,Himachal Pradesh,Between July to September
Financial Assistance to the Children of the Armed Forces personnel killed/ disabled during the different war/ operations,The applicant should be a child of the personnel of the Armed Forces killed or disabled during a war or an operation,Others,https://sainikwelfare.cg.gov.in/directorate/html/en/WELFARE_SCHEME_RSB_CG_en.html,,Open for all,Scholarship,State,Himachal Pradesh,Between July to September
Mukhya Mantri Gyandeep Yojana,The applicant should be a student pursuing a professional/technical course and higher education course from recognized institutions in India,Others,https://hpepass.cgg.gov.in/NewHomePage.do,,Open for all,Scholarship,State,Himachal Pradesh,Between July to September
Indira Gandhi Utkrisht Chattervriti Yojana for Post plus two Students,The applicant should be a male topper as per the merit list of 10+2 Arts Science and Commerce supplied by the HP Board of School Education ORA topper (both male & female) from the merit lists of B.A./ B.Sc./ B.Com. supplied by the HPU ShimlaThe student should join any academic or professional stream.,10+2/Intermediate UG,https://scholarships.gov.in/,,Open for all,Scholarship,State,Himachal Pradesh,Between September and December
Lahaul Spiti Pattern,The applicant should belong to the Tribal community living in a tribal area of Himachal Pradesh,Others,https://www.learncbse.in/hp-epass/,,ST,Scholarship,State,Himachal Pradesh,Between July to September
Girls Attendance Scholarship,The applicant should be a girl studying in a recognised school.The attendance of the student should be more than 90% for 10 months,Junior 10/High_School,https://scholarships.gov.in/,,Women,Scholarship,State,Himachal Pradesh,Between July and September
National Scheme of Incentive to girls for Secondary Education (NSIGSE) (CSS),The applicant should be a girl student.The student should have qualified middle standard examinations and taken admission in 9th standard.,Junior,https://transformingindia.mygov.in/scheme/national-scheme-of-incentive-to-girls-for-secondary-education/,,ST SC Women,Scholarship,State,Himachal Pradesh Central,October to December
Pre-Matric Scholarship Scheme for SC/ST Students (9th&10th) CSS,The applicant should be a student of class 9th & 10th studying in any Govt./ Recognized school.The annual family income of the student for SC category should not be more than INR 2.5 Lakh per annum and for ST category should not be more than INR 2 Lakh per annum,Junior 10/High_School,https://socialjustice.gov.in/schemes/23,,ST SC,Scholarship,State,Himachal Pradesh Central,October to December
Pre-Matric Scholarship for OBC Students (1st to 10th) CSS,The applicant should be a student in class 1st to 10th studying in any Govt./ Recognized school.The annual family income of the student should not exceed 2.5 Lakhs per annum,Primary Junior 10/High_School,https://scholarships.gov.in/,,OBC,Scholarship,State,Himachal Pradesh Central,October to December
Post-Matric Scholarship to SC/ST Students (CSS),The students should be pursuing their studies in Govt./ Govt. Aided/ recognized/ private institutionsThe annual family income of the student should not exceed INR 2.5 Lakh.,10+2/Intermediate,https://scholarships.gov.in/,,ST SC,Scholarship,State,Himachal Pradesh Central,October to December
Post-Matric Scholarship to OBC Students (CSS),The scholarship is open for students studying at post-matriculation level.The annual family income of the student including his should not be more than INR 1.5 Lakh per annum.Employed students are also eligible to apply.,10+2/Intermediate,https://scholarships.gov.in/,,OBC,Scholarship,State,Himachal Pradesh Central,October to December
Dr. Ambedkar Post-Matric Scholarship for Economically Backward Classes (EBC),The annual family income of the student (including his if employed) should not exceed INR 1 Lakh per annum,10+2/Intermediate,https://scholarships.gov.in/,,General,Scholarship,State,Himachal Pradesh Central,October to December
Upgradation of Merit of SC/ST Students (CSS) (Only for GSSS Bharmour Chamba),The student should be studying in Bharmour Chamba.The student should be admitted in class 9th at the GSSS Bharmour Chamba on the basis of merit list of middle standard examinations.,Junior,https://hpepass.cgg.gov.in/NewHomePage.do?actionParameter=centralSchemes,,ST SC,Scholarship,State,Himachal Pradesh Central,October to December
Merit Cum Means Scholarship Scheme for Students belonging to Minority Community (CSS),The student should belong to a Minority Group (Muslim/ Sikh/ Christian/ Buddhist).The student should be pursuing a degree/ post-graduate level technical professional course from a recognized institution.The annual family income of the student should not exceed INR 2.5 Lakh per annumThe student must have secured at least 50% marks in the last qualifying examinations.,UG PG Others,https://scholarships.gov.in/,,Minority,Scholarship,State,Himachal Pradesh Central,October to December
Post-Matric Scholarship Scheme to Students belonging to Minority Community,The student should belong to a Minority Group (Muslim/ Sikh/ Christian/ Buddhist).They must be studying in 10+2 to PhD level of education at Govt. / recognized schools/ colleges/ institutes including technical/ vocational coursesThe annual family income of the student should not exceed INR 2 Lakh per annum.The student must have secured at least 50% marks in the last qualifying examination.,10+2/Intermediate UG PG Ph.D/Doctorate,https://scholarships.gov.in/,,Minority,Scholarship,State,Himachal Pradesh Central,July to October
Maulana Azad National Scholarship Scheme for Meritorious girl students belonging to Minorities,The student should be a girl belonging to a Minority Group (Muslim/ Sikh/ Christian/ Buddhist/ Jain/ Parsi)They must be studying in 10+2 to Ph.D. level of education at Govt. / recognized schools/ colleges/ institutes including technical/ vocational coursesThe annual family income of the student should not exceed INR 1 Lakh per annum.The student must have secured at least 50% marks in the last qualifying examination.,10+2/Intermediate UG PG Ph.D/Doctorate Others,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=1&ls_id=625&lid=107,,Minority,Scholarship,State,Himachal Pradesh Central,July to October
National Means Cum Merit Scholarships,The student should belong to an economically weaker section with an annual family income not exceeding INR 1.5 Lakh per annumThe applicant should be a student of lower than 8th standard and must have dropped out of further studies.,Junior,https://scholarships.gov.in/,,Open for all,Scholarship,State,Himachal Pradesh Central,October to December
Scholarship to Disabled Students,Trust Fund- The student should have a disability and should be pursuing a degree or PG level professional and technical courses from recognized institutionsNational Fund- The student should have a disability and should be pursuing post matric professional and technical courses of more than one-year duration.Post Matric or Pre-Matric- The student should have a disability and must be of either post matric or pre-matric education level.,UG PG Others,https://services.india.gov.in/service/detail/apply-online-for-scholarships-for-differently-abled,,Open for all,Scholarship,State,Himachal Pradesh Central,July to October
Dr. Ambedkar Pre-Matric Scholarship for DNTs (CSS),The student should belong to DNT category pursuing pre-matric level of educationThe annual family income of the student should not exceed INR 2 Lakh per annum,Junior,https://scholarships.gov.in/,,Denotified Nomadic Semi-Nomadic Tribes,Scholarship,State,Himachal Pradesh Central,July to October
Dr. Ambedkar Post-Matric Scholarship for DNTs (CSS),The student should belong to DNT category pursuing post matric level of education.The annual family income of the student should not exceed INR 2 Lakh per annum,10+2/Intermediate,https://scholarships.gov.in/,,Denotified Nomadic Semi-Nomadic Tribes,Scholarship,State,Himachal Pradesh Central,July to October
Scholarships for PG/Degree & Engineering Level Courses,The student should belong to a financially backward background and be a bona fide of Himachal Pradesh or ward of HP Government employees.The student must have scored at least 60% marks in the last qualifying examinations.They must be pursuing a P.G. Course / Degree Courses in Engineering / Technology including Architecture or any other equivalent course approved by the All India Council for Technical Education (AICTE).The annual family income of the student should not exceed INR 3.6 Lakh per annum,Engineering UG PG,https://hpepass.cgg.gov.in/NewHomePage.do?actionParameter=technicalSchemes,,Open for all,Scholarship,State,Himachal Pradesh,December every year
Scholarships for Diploma Courses,The student should belong to a financially backward background and be a bona fide of Himachal Pradesh or ward of HP Government employees.The student must have scored at least 60% marks in the last qualifying examination.They must be pursuing Diploma level courses in Engineering / Technology including Architecture or any other equivalent course approved by the All India Council for Technical Education (AICTE).The annual family income of the student should not exceed INR 36000 per annum,Engineering UG PG,https://scholarships.gov.in/,,Open for all,Scholarship,State,Himachal Pradesh,December every year
Scholarships for ITI Students,The scholarship is applicable for ITI students.,Others,https://scholarships.gov.in/,,Open for all,Scholarship,State,Himachal Pradesh,December every year
Prime Minister Special Scholarship Scheme (PMSSS) J&K,The scholarship is open for students who have passed the Class 10+2 examination from the J&K board or CBSE affiliated schools in J&K.The students must be pursuing a general professional or medical degree course at the prescribed list of colleges.The students must be willing to take admission outside J&K state only.The annual income of the student’s family should be less than INR 8 Lakh.The students who have completed a 10+3 diploma from J&K State Polytechnics can also apply for direct entry in the second year on the vacant seats in the professional category.,UG Medical,https://www.aicte-jk-scholarship-gov.in/,,Open for all,Scholarship,State,Jammu & Kashmir,Between April and September
Post Matric Scholarship Scheme for ST Students Jammu and Kashmir 2021,The students must be a citizen of Jammu and KashmirThe students must belong to the Scheduled Tribes category.The students must be a student of Class 10+1 to postdoctoral level.The students must belong to a family whose income does not exceed INR 2 lakh per annum from all sources.,10+2/Intermediate UG PG,https://scholarships.gov.in/,,ST,Scholarship,State,Jammu & Kashmir,Between September and November
Combined Counselling Board (CCB) Scholarship J&K,The students studying at the college/university level (pursuing diploma level degree level or postgraduate level courses) can apply for this scholarship.The students must have passed the last qualifying examination with at least 40% to 50% marks.,UG PG,https://www.ccbnic.in/,,Open for all,Scholarship,State,Jammu & Kashmir,Between December and April
KEI Kashmir Education Initiative Scholarship,The students must have scored at least 75% marks in the Class 8 examination held in November or December 2021.The total annual family income of the students should not exceed Rs. 300000,Junior,https://www.kashmirei.org/,,Open for all,Scholarship,State,Jammu & Kashmir,Between December and January
Jharkhand State Post Matric Scholarship,The students who have passed Class 10 and are pursuing studies in Class 10+1 to post-graduation level can apply for this scholarship.The annual income of the family should be less than ?250000 (for the SC/ST category) and ?150000 (for the BC category).,10+2/Intermediate UG PG,https://ekalyan.cgg.gov.in/,,ST SC BC,Scholarship,State,Jharkhand,
BCCL Ke Laal and BCCL Ki Laadli,This scholarship is open for the wards or BCCL employees who have completed class 10.Applicants must be residing within a 25 km radius of BCCL.The minimum percentage of marks to be obtained by them in board examination is 60%.The annual income of the family should be less than ?600000.Students suffering from any chronic disease are not eligible to apply for this scholarship.,10+2/Intermediate,,Interested students need to apply offline from district offices. Address – Area GM’s Office of BCCL (Barora Block-II Govindpur Katras Sijua Kusunda Bastacolla PB Lodna WJ EJ CV) and HRD Kalyan Bhawan Jagjiwan Nagar Dhanbad,Open for all,Scholarship,State,Jharkhand,
Combined Counselling Board Scholarship (CCB),The students pursuing diploma level degree level or postgraduate level courses can apply for this scholarship.They must have passed the last qualifying examination with at least 40% to 50% marks.,UG PG,https://www.ccbnic.in/,,Open for all,Scholarship,State,Jharkhand,
National Overseas Scholarship for Minority Community Students Karnataka,The students of the Minority community (Muslims Christians Jains Buddhists Sikhs and Parsis) can apply for the scholarshipThe scholarship is applicable to Master’s PhD and Postdoctoral degreesYour age should not be more than 38 years from the commencement of the courseThe marks scored in the last degree should be 60% or its equivalent gradeThe scholarship is applicable for selective courses only,PG Ph.D/Doctorate,https://gokdom.kar.nic.in/,,Minority,Scholarship,State,Karnataka,May to July
Scheme of Overseas Scholarships for SC/ST Students Karnataka,The students belonging to SC or ST community can applyThe students should have an admission letter for postgraduate or above courses from any reputed university in the worldThe streams of study that come under this scholarship are Humanities Pure Sciences & applied sciences International Commerce Agriculture Sciences & Medicines Engineering & Management Social Science & Law Accounting Finance etc.The marks obtained by the applicant in the previous degree should be 60% or its equivalent gradeThe candidate should not be more than 35 years of age as on 1 June every year,PG Ph.D/Doctorate,https://bcwd.karnataka.gov.in/english,,ST SC,Scholarship,State,Karnataka,May to July
Research Guidance PhD Fellowship for Backward Classes Karnataka,The candidates engaged in a full-time PhD program under research guidance from a university or institution in Karnataka can applyThe minimum percentage of marks obtained in the master’s degree program should be 55%The age of the candidate should not be more than 35 yearsYou should also meet the income criteria as specified,Ph.D/Doctorate,https://bcwd.karnataka.gov.in/english,,Backward classes,Fellowship,State,Karnataka,October to December
Incentive for SSLC & 2nd PUC Students Karnataka,You must belong to the Minority community (Muslims Christians Buddhists Jains Parsis and Sikhs)You must have passed class 10th or 10+2 with 85% marks or above,10+2/Intermediate UG,https://dom.karnataka.gov.in/english,,Open for all,Scholarship,State,Karnataka,August to September
Pre-Matric Scholarship for Minorities of Karnataka,The scheme is applicable to Minority community studentsThe percentage of marks obtained by the student in the previous annual examination should be more than 50% (Not applicable for students of class 1st)The students who are domicile of Karnataka but studying in some other state can applyThe students belonging to other states who are studying in Karnataka cannot applyThe family income of the applicant should not be more than INR 1 Lakh from all sources,Junior 10/High_School,https://scholarships.gov.in/,,Minority,Scholarship,State,Karnataka,August to September
Post-Matric Scholarship for Minorities of Karnataka,Only minority community students can applyThe students of class 10+1 to PhD level can applyThe marks obtained in the previous qualifying examination should be 50% or aboveThe annual family income should not be more than INR 2.5 LakhThe students pursuing studies through correspondence or certificate/training level courses cannot applyThe students belonging to other states who are studying in Karnataka cannot apply,10+2/Intermediate UG PG Ph.D/Doctorate,https://scholarships.gov.in/,,Minority,Scholarship,State,Karnataka,August to September
Merit-Cum-Means Scholarship for Minorities Karnataka,It is applicable only to Minority community studentsThe student must be pursuing graduation or post-graduation in a professional/technical streamThe marks obtained in the previous examination should be more than 50%The total annual family income from all sources should not exceed INR 2.5 Lakh,UG PG Others,https://scholarships.gov.in/,,Minority,Scholarship,State,Karnataka,August to September
MPhil and PhD Fellowship for Minority Students Karnataka,The scheme is open only for Minority community candidatesThe age of the applicant should not be more than 35 yearsThe annual income of the family should be less than INR 6 LakhGovernment employees or full-time employees are not eligible to apply,PG Ph.D/Doctorate,,Apply offline through the Directorate of Minorities20th FloorV.V TowersAmbedkar Veedhi Bangalore – 560001,Minority,Fellowship,State,Karnataka,May to June
Samagra Shikshana Karnataka Fellowship,The students possessing a regular post-graduate/professional/any other degree in Social Science or Public Policy can applyThey must have 3 to 10 years of work experienceThey must demonstrate an excellent professional and academic track recordThe age of the applicant should not be more than 35 yearsHaving proficiency in English and Kannada is a mustThe student must also have strong written verbal and presentation skills,UG PG,,Apply via email to sskcon.recruit@gmail.com with “Application for Samagra Shikshana Karnataka Fellowship” as the subject,Open for all,Fellowship,State,Karnataka,February to March
ITC Fee Reimbursement Scholarship Kerala,Open for students who belong to Minority communities (Muslim Christian Parsi Sikh Buddhist and Jains).The applicants must be pursuing an ITI course.The annual income of the family should be less than INR 800000 per annum.,Others,http://dcescholarship.kerala.gov.in/dmw/dmw_ma/dmw_ind.php,,Minority(Muslim Christian Parsi Sikh Buddhist and Jains),Scholarship,State,Kerala,November and December
C H Muhammedkoya Scholarship Kerala,Open for girl students only who belong to Muslim Latin or converted Christian communities.The applicants must be pursuing studies at graduation level or above.The percentage of marks to be obtained by them in the last qualifying examination should be 50% or more.The annual income of the family should be less than INR 800000.Students studying in self-financing colleges from merit seats can also apply,UG PG,http://dcescholarship.kerala.gov.in/dmw/dmw_ma/dmw_ind.php,,Minority(Muslim Christian Parsi Sikh Buddhist and Jains),Scholarship,State,Kerala,November and December
APJ Abdul Kalam Scholarship (APJAK) Kerala,Students belonging to Minority communities (Muslims Sikhs Christians Parsis Jains and Buddhists) can apply for this scholarship.They must be studying in a government/aided polytechnic in a merit seat.The annual income of the family should be less than INR 800000.,UG,http://dcescholarship.kerala.gov.in/dmw/dmw_ma/dmw_ind.php,,Minority(Muslim Christian Parsi Sikh Buddhist and Jains),Scholarship,State,Kerala,August and November
Prof. Joseph Mundassery Scholarship Award (PJMS) Kerala,Applicants belonging to the Minority community (Muslims Christians Sikhs Parsis Jains and Buddhists) can apply for this scholarship.They must be pursuing their education in Classes 10 10+2 and VHSE.The annual income of the family should be less than INR 800000 from all sources.,10/High_School 10+2/Intermediate,http://dcescholarship.kerala.gov.in/dmw/dmw_ma/dmw_ind.php,,Minority(Muslim Christian Parsi Sikh Buddhist and Jains),Scholarship,State,Kerala,September and November
Mother Teresa Scholarship (MTS) Kerala,Applicants belonging to Minority communities (Muslims Christians Sikhs Parsis Jains and Buddhists) can apply for this scholarship.They must be pursuing a nursing diploma/paramedical course.The annual income of the family should be less than INR 800000 from all sources.,UG,http://dcescholarship.kerala.gov.in/dmw/dmw_ma/dmw_ind.php,,Minority(Muslim Christian Parsi Sikh Buddhist and Jains),Scholarship,State,Kerala,January and February
CA/ICWA/CS Scholarship (IWCS) Kerala,Applicants belonging to Minority communities (Muslims Christians Sikhs Parsis Jains and Buddhists) and pursuing CA/ICWA/CS courses can apply for this scholarship.The minimum percentage of marks to be obtained by them in the last qualifying examination should be 60%.The annual income of the family should be less than INR  800000.,UG PG,http://dcescholarship.kerala.gov.in/dmw/dmw_ma/dmw_ind.php,,Minority(Muslim Christian Parsi Sikh Buddhist and Jains),Scholarship,State,Kerala,August and October
District Merit Scholarship (DMS) Kerala,Students pursuing studies at higher secondary VHSC ITI or Polytechnic courses can apply.They must have passed the SSLC examination conducted by the Board of Public Examination Kerala State with an ‘A’ plus grade in all subjects.,10+2/Intermediate Others,http://www.dcescholarship.kerala.gov.in/dce/he_ma/he_maindx.php,,Open for all,Scholarship,State,Kerala,October and December
State Merit Scholarship Kerala,Students pursuing studies in the first year of an undergraduate or postgraduate course in a government/aided college or university can apply.The minimum percentage of marks to be obtained by them in the qualifying examination should be 50% or above.The annual income of the family should be less than INR 100000.,UG PG,http://www.dcescholarship.kerala.gov.in/dce/he_ma/he_maindx.php,,Open for all,Scholarship,State,Kerala,October and December
Sanskrit Scholarship (SSE) Kerala,The scholarship is open for students pursuing undergraduate or postgraduate degree courses with Sanskrit as a subject.,UG PG,http://www.dcescholarship.kerala.gov.in/dce/he_ma/he_maindx.php,,Open for all,Scholarship,State,Kerala,October and December
Muslim Nadar Girls Scholarship Kerala,The scholarship is open for girl students only who belong to the forward BPL family and backward community.They must be pursuing studies in the first year of an HSC/VHSC/undergraduate degree course at a government/aided arts and science college/university.,10/High_School 10+2/Intermediate,http://www.dcescholarship.kerala.gov.in/dce/he_ma/he_maindx.php,,BPL Backward classes,Scholarship,State,Kerala,October and December
Music Fine Arts Scholarship (MFAS) Kerala,The students studying in a Government Music College or Government Fine Arts College can apply for this scholarship.,Others,http://www.dcescholarship.kerala.gov.in/dce/he_ma/he_maindx.php,,Artist,Scholarship,State,Kerala,October and December
Blind/PH Scholarship Kerala,This scholarship is applicable to blind/physically handicapped/deaf students.They must be pursuing their studies in government/aided Arts and Science Colleges Music Colleges and Higher Secondary/Vocational Higher Secondary schools.,Others,http://www.dcescholarship.kerala.gov.in/dce/he_ma/he_maindx.php,,Specially-abled student,Scholarship,State,Kerala,October and December
Hindi Scholarship (HS) Kerala,Students pursuing an undergraduate or postgraduate course with Hindi as a subject can apply for this scholarship.,UG PG,http://www.dcescholarship.kerala.gov.in/dce/he_ma/he_maindx.php,,Open for all,Scholarship,State,Kerala,October and December
Suvarna Jubilee Merit Scholarship (SJMS) Kerala,Open for students who are in the first year of any undergraduate or postgraduate degree program.They must belong to a BPL family.The minimum percentage of marks to be obtained by them in the last qualifying examination is 50% or above.,UG PG,http://www.dcescholarship.kerala.gov.in/dce/he_ma/he_maindx.php,,Open for all,Scholarship,State,Kerala,October and December
Post-Matric Scholarship (PMS) for Minority Community Kerala,Open for students who belong to a minority community (Muslims Christians Sikhs Parsis Jains and Buddhists).They must be pursuing their studies from Classes 10+1 to the Ph.D. level.The minimum percentage of marks to be obtained by them in the qualifying examination should be 50% or above or an equivalent grade.The annual income of the family should be less than INR 200000.,10+2/Intermediate UG PG Ph.D/Doctorate,http://www.dcescholarship.kerala.gov.in/dce/he_ma/he_maindx.php,,Minority(Muslim Christian Parsi Sikh Buddhist and Jains),Scholarship,State,Kerala,July and October
Central Sector Scholarship (CSS) Kerala,The students who are above the 80th percentile of successful candidates in Class 10+2 from respective Board of Examination can apply for this scholarship.They must be pursuing regular degree courses at the undergraduate or postgraduate level from institutions/colleges recognized by AICTE/UGC/MCI/DCI or any other regulatory authorities.The annual income of the family should be less than INR 800000 from all sources.,UG PG,https://scholarships.gov.in/,,Open for all,Scholarship,State,Kerala,August and October
Mukhyamantri Medhavi Vidyarthi Yojana (MMVY) Madhya Pradesh,The students who have passed their class 12th with 75% or above marks (from Secondary Education Board of Madhya Pradesh) or 85% or above marks (from CBSE/ICSE board).The annual income of the family should not be more than INR 6 Lakh from all sources.The students should be enrolled in an undergraduate level of course at a recognised institution or university.The engineering aspirants are expected to have qualified JEE Mains examination with rank less than 50000.The medical aspirants are expected to have taken admission to a government/private medical or dental college through NEET merit.The law aspirants are expected to have qualified CLAT examination and obtained admission to an NLU.,Engineering Mediacl,https://www.mptechedu.org/index.php/mukhyamantri-medhavi-vidyarthi-yojna,,Open for all,Scholarship,State,Madhya Pradesh,Runs all through the year
Mukhya Mantri Jan Kalyan Yojana (MMJKY) Madhya Pradesh,This scholarship is open for the wards of people who are regarded as the unorganised workman by the Labour Department of Madhya Pradesh.The students must have taken admission to an undergraduate postgraduate polytechnic diploma or ITI programme.The engineering aspirants are expected to have qualified JEE Mains examination with the rank below 150000.The medical aspirants are expected to have taken admission in MBBS course through JIPMER AIIMS entrance examination.The law aspirants are expected to have taken admission at NLUs by qualifying the CLAT examination.The scholarship is also applicable for students who have secured admission at government colleges in any undergraduate or integrated postgraduate programme or dual degree programme.,Engineering Mediacl UG PG Others,http://scholarshipportal.mp.nic.in/SambalScholarship/,,Open for all,Scholarship,State,Madhya Pradesh,Runs all through the year
Post Matric Scholarship Scheme for OBC Students Madhya Pradesh,The students belonging to Other Backward Classes (OBC) who are studying at post-secondary level can apply for the scholarship.The annual income of the family should be less than INR 75000 (for 100% scholarship).The annual income of the family should be up to INR 100000 (for 50% scholarship).,10+2/Intermediate,http://scholarshipportal.mp.nic.in/Index.aspx,,OBC,Scholarship,State,Madhya Pradesh,December to January
Post Matric Scholarship Scheme for SC Students Madhya Pradesh,The students belonging to SC category who are studying at post-secondary level can apply for the scholarship.,10+2/Intermediate,http://scholarshipportal.mp.nic.in/Index.aspx,,SC,Scholarship,State,Madhya Pradesh,December to January
