Name,Eligibility,Eligible,Links_online_application,Contacts_offline_applications,Special_Categories,Scholarship_Fellowship,Level,State,Application_Period
Post Matric Scholarship Scheme for ST Students Madhya Pradesh,The students belonging to ST category who are studying at post-secondary level can apply for the scholarship.The annual income of the family should be less than INR 250000 (for 100% scholarship).The annual income of the family should be between INR 250000 and INR 600000 (for 50% scholarship).,10+2/Intermediate,http://scholarshipportal.mp.nic.in/Index.aspx,,ST,Scholarship,State,Madhya Pradesh,December to January
Government of India Post-Matric Scholarship,Student must belong to the Scheduled Caste (SC) or Navbouddha category.Student must be a resident of Maharashtra.Student must have passed SSC/equivalent matriculation.Students must have an annual parental income of less than or equal to ? 250000 from all sources.Note:-The same rules apply to students studying outside of Maharashtra.Only two professional courses are permitted.,10+2/Intermediate,https://mahadbt.maharashtra.gov.in/Home/Index,,SC Navbouddha,Scholarship,State,Maharashtra,31st March 2024
Post Matric Tuition Fee and Examination Fee (Freeship),Students must belong to Scheduled Caste (SC) or Neo-Buddhist community.Candidates must be studying in Class 10+1 and above in a government-recognised institution of the state.Students must have passed SSC or equivalent matric.Students must have annual income less than or equal to ? 250000 from all sources.,10+2/Intermediate UG,https://mahadbt.maharashtra.gov.in/Home/Index,,SC Neo-Buddhist,Scholarship,State,Maharashtra,31st March 2024
Maintenance Allowance for Students Studying in Professional Courses,Applicants must belong to the Scheduled Caste (SC) category.Students must be enrolled in a professional course in a recognised institution.Candidates must be residing in a hostel (either a government institute or outside campus).Applicants must have annual income less than or equal to ? 250000 from all sources.,Others,https://mahadbt.maharashtra.gov.in/Home/Index,,SC,Scholarship,State,Maharashtra,31st March 2024
Rajarshri Chhatrapati Shahu Maharaj Merit Scholarship,Students must belong to the Scheduled Caste (SC) category.Candidates must be studying in Class 10+1 and 10+2.Applicants must have secured 75% and above marks in Class 10.,10+2/Intermediate,https://mahadbt.maharashtra.gov.in/Home/Index,,SC,Scholarship,State,Maharashtra,31st March 2024
Post-Matric Scholarship for Persons with Disability,Applicants must have a disability of 40% or more certified by a competent authority.Students must be studying in Class 10+1 to Ph. D. level in a government/government-aided institution in Maharashtra.Candidates must have taken admission through the CAP process.,10+2/Intermediate UG PG Ph.D/Doctorate,https://mahadbt.maharashtra.gov.in/Home/Index,,Open for all,Scholarship,State,Maharashtra,31st March 2024
Post Matric Scholarship Scheme,Students must belong to Scheduled Tribe (ST) Category of Maharashtra.Applicants must have passed Class 10.Candidates must have an annual family income of not more than ?250000.Students must not have a gap of more than 2 years in their formal education.,10+2/Intermediate UG,https://mahadbt.maharashtra.gov.in/Home/Index,,ST,Scholarship,State,Maharashtra,31st March 2024
Tuition Fee and Exam Fee for Tribal Students,Students must belong to Scheduled Tribe (ST) category.Applicants must be studying at post-matric level at a recognised institution.Candidates must have an annual family income of not more than ?250000 from all sources.,10+2/Intermediate UG,https://mahadbt.maharashtra.gov.in/Home/Index,,ST,Scholarship,State,Maharashtra,31st March 2024
Vocational Education Fee Reimbursement,Applicants must belong to Scheduled Tribe (ST) category.Candidates must be enrolled in one of the following vocational courses: EngineeringPharmacyAnimal HusbandryVaastu ShastraDairy DevelopmentMBA or MCA Students must have an annual family income of no more than ?250000 from all sources.,Engineering Mediacl PG Others,https://mahadbt.maharashtra.gov.in/Home/Index,,ST,Scholarship,State,Maharashtra,31st March 2024
Vocational Education Maintenance Allowance,Students must belong to Scheduled Tribe (ST) community of Maharashtra.Candidates must be enrolled in a vocational course at a recognised institution.Applicants must have an annual family income of less than or equal to ?250000. Students must have passed the previous year’s examination.,Others,https://mahadbt.maharashtra.gov.in/Home/Index,,ST,Scholarship,State,Maharashtra,31st March 2024
Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme,Students must be pursuing a professional or non-professional course approved by the Director of Higher Education (DHE) at a government or government-aided university/college.Candidates must have taken admission under the General or Socially and Economically Backward Classes (SEBC) category.Applicants must have an annual family income of up to ? 800000.,Others,https://mahadbt.maharashtra.gov.in/Home/Index,,SEBC,Scholarship,State,Maharashtra,31st March 2024
Assistance to Meritorious Students Scholarship – Junior Level,Students must be studying in Class 10+1 and 10+2.Candidates must have achieved top ranks in the secondary and higher secondary examination.Students must hold a DHE sanctioned letter.,10+2/Intermediate,https://mahadbt.maharashtra.gov.in/Home/Index,,Open for all,Scholarship,State,Maharashtra,31st March 2024
Assistance to Meritorious Students Scholarship – Senior Level,Students must have passed Class 10+2.Candidates must have secured top rank in the secondary and higher secondary examination.Applicants must hold a Director of Higher Education (DHE) sanctioned letter.,UG,https://mahadbt.maharashtra.gov.in/Home/Index,,Open for all,Scholarship,State,Maharashtra,31st March 2024
Education Concession to the Children of Ex-Servicemen,Applicants must be a child/r/wife/widow of ex-servicemen.Candidates must be studying in a government/government-aided college in Maharashtra. ,Others,https://mahadbt.maharashtra.gov.in/Home/Index,,Open for all,Scholarship,State,Maharashtra,31st March 2024
Eklavya Scholarship,Applicants must be graduates domiciled in Maharashtra.Candidates must have secured a minimum of  60% marks in the Law Commerce and Arts streams and 70% marks in the Science stream from a recognised institution/university of Maharashtra.Students must have an annual family income of less than or equal to ?75000.Applicants must not be working anywhere as a part-time or full-time employee.,UG,https://mahadbt.maharashtra.gov.in/Home/Index,,Open for all,Scholarship,State,Maharashtra,31st March 2024
State Government Open Merit Scholarship,Applicants must have passed Class 10+2. Students must have secured a minimum of 60% marks.Candidates must be pursuing graduation in Arts/Commerce/Science or Law. ,UG,https://mahadbt.maharashtra.gov.in/Home/Index,,Open for all,Scholarship,State,Maharashtra,31st March 2024
Scholarship to Meritorious Students Possessing Mathematics/Physics,Applicants must have secured at least 60% marks in Class 10+2 in Science exam or more than 60% in Maths & Physics.Students must be pursuing graduation degree in Science.Candidates must have Maths and Physics as main subjects.,UG,https://mahadbt.maharashtra.gov.in/Home/Index,,Open for all,Scholarship,State,Maharashtra,31st March 2024
Government Vidyaniketan Scholarship,Students must have passed Class 10 from Government Vidhyaniketan.Candidates must have scored 60% marks in Class 10 board exams.,10+2/Intermediate,https://mahadbt.maharashtra.gov.in/Home/Index,,Open for all,Scholarship,State,Maharashtra,31st March 2024
State Government Daxshina Adhichatra Scholarship,Applicants must be a graduate from government institutes and colleges/non-agricultural university of Maharashtra.Candidates must have taken admission in a PG course in one of the specified government colleges.,UG PG,https://mahadbt.maharashtra.gov.in/Home/Index,,Open for all,Scholarship,State,Maharashtra,31st March 2024
Government Research Adichatra,Applicants must have secured 60% marks in postgraduation [B.A/B.Sc/B.Ed and MA/MSC/M.Ed] and below 60% marks for any other degree.Students must be studying in one of the following institutions of Maharashtra:Govt. Science Institute (Mumbai Nagpur Aurangabad)Govt. Vidarbha Gyan Vidnyan Science Institute (Amravati)Vasant Rao Naik Mahavidyalaya College (Nagpur)Universities and affiliated colleges,UG PG,https://mahadbt.maharashtra.gov.in/Home/Index,,Open for all,Scholarship,State,Maharashtra,31st March 2024
Education Concession to the Children Freedom Fighter,Students must be ward/wife/widow of the freedom fighter.Applicants must be pursuing graduation and postgraduation courses from one of the recognised institutions of Maharashtra.,Others,https://mahadbt.maharashtra.gov.in/Home/Index,,,Scholarship,State,Maharashtra,31st March 2024
Jawaharlal Nehru University Scholarship,Candidates must be a domicile of Maharashtra.Students must be an undergraduate/postgraduate degree student studying at Jawaharlal Nehru University.,UG PG,https://mahadbt.maharashtra.gov.in/Home/Index,,Open for all,Scholarship,State,Maharashtra,31st March 2024
